key_resp.keys,key_resp.corr,,tilt,,hit,miss,false alam,correct rejection,,,,,
up,0,,1,,,1,,,,,,,
up,0,,3,,,1,,,,,,,
down,0,,0,,,,1,,,,,,
down,0,,0,,,,1,,,,,,
down,1,,3,,1,,,,,,,,
down,0,,0,,,,1,,,,,,
down,1,,-2,,1,,,,,,,,
up,0,,-1,,,,1,,,,,,
down,1,,-5,,1,,,,,,,,
down,1,,0,,1,,,,,,,,
down,0,,0,,,,1,,,,,,
down,1,,1,,1,,,,,,,,
down,0,,0,,,,1,,,,,,
down,1,,-1,,1,,,,,,,,
up,0,,-2,,,,1,,,,,,
up,0,,-1,,,,1,,,,,,
up,1,,0,,,,,1,,,,,
down,0,,0,,,,1,,,,,,
down,0,,0,,,,1,,,,,,
down,1,,-1,,1,,,,,,,,
down,1,,-2,,1,,,,,,,,
down,1,,1,,1,,,,,,,,
down,1,,2,,1,,,,,,,,
down,0,,0,,,,1,,,,,,
up,1,,0,,,,,1,,,,,
up,0,,-4,,,,1,,,,,,
down,0,,0,,,,1,,,,,,
up,1,,0,,,,,1,,,,,
up,1,,0,,,,,1,,,,,
down,1,,3,,1,,,,,,,,
down,1,,-1,,1,,,,,,,,
up,1,,0,,,,,1,,,,,
down,1,,-1,,1,,,,,,,,
down,0,,0,,,,,1,,,,,
down,0,,0,,,,,1,,,,,
down,0,,0,,,,,1,,,,,
down,0,,0,,,,,1,,,,,
down,1,,-2,,1,,,,,,,,
down,0,,0,,,,,1,,,,,
up,0,,0,,,,,1,,,,,
up,0,,-1,,,,,1,,,,,
down,0,,0,,,,,1,,,,,
down,1,,-5,,1,,,,,,,,
up,0,,-1,,,,1,,,,,,
down,1,,-2,,1,,,,,,,,
up,0,,1,,,,1,,,,,,
down,1,,-4,,1,,,,,,,,
up,0,,-2,,,,1,,,,,,
down,1,,-2,,1,,,,,,,,
up,1,,0,,,,,1,,,,,
down,1,,-2,,1,,,,,,,,
up,1,,0,,,,,1,,,,,
down,0,,0,,,,1,,,,,,
up,0,,-4,,,,1,,,,,,
down,0,,0,,,,1,,,,,,
up,0,,0,,,,1,,,,,,
down,0,,0,,,,1,,,,,,
up,1,,0,,,,,1,,,,,
down,0,,0,,,,1,,,,,,
up,1,,0,,,,1,,,,,,
up,0,,2,,,,1,,,,,,
up,0,,-4,,1,,,,,,,,
down,0,,0,,,,1,,,,,,
down,1,,4,,1,,,,,,,,
up,0,,-1,,,,1,,,,,,
down,1,,0,,1,,,,,,,,
up,0,,-4,,,,1,,,,,,
down,1,,-3,,1,,,,,,,,
up,0,,1,,,,1,,,,,,
down,1,,4,,1,,,,,,,,
up,1,,0,,,,,1,,,,,
up,0,,4,,,,1,,,,,,
down,0,,0,,,,1,,,,,,
down,1,,-2,,1,,,,,,,,
up,1,,0,,,,,1,,,,,
up,1,,0,,,,,1,,,,,
up,1,,0,,,,,1,,,,,
down,1,,-1,,1,,,,,,,,
up,1,,0,,,,,1,,,,,
down,1,,2,,1,,,,,,,,
up,0,,4,,,,,1,,,,,
up,1,,0,,,,,,,,,,
down,1,,-4,,1,,,,,,,,
up,0,,0,,,,,1,,,,,
up,0,,4,,,,,1,,,,,
down,1,,-5,,1,,,,,,,,
up,1,,0,,,,,,,,,,
up,1,,0,,,,,,,,,,
up,0,,3,,,,,1,,,,,
down,0,,0,,,,,1,,,,,
up,0,,0,,,,,1,,,,,
down,1,,-2,,1,,,,,,,,
down,1,,-5,,1,,,,,,,,
up,1,,0,,,,,,,,,,
down,0,,0,,,,,1,,,,,
up,1,,0,,,,,,,,,,
down,0,,0,,,,,1,,,,,
up,1,,0,,,,,,,,,,
up,1,,0,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,total ,31,2,30,29,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Respond YES,,Respond NO ,,,prop hit = hit/hit+miss,,,0.939393939,,,
,,,,,,,prop fa = fa/fa+corr rejection ,,,0.508474576,,,
Signal Present,,Hit,,Miss ,,,,,,,,,
Signal Absent,,False alarm,,Correct Rejection,,,,,,,,,
,,,,,,,,,,,,,
,,Respond YES,,Respond NO,,,d-prime = z(prop hit ) -z(prop fa),,,1.52846169,,,
,,,,,,,c = -z(prop hit) + z(prop fa)/2,,,-1.52846169,,,
Signal Present,,31,,2,,,,,,,,,
Signal Absent,,30,,29,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,, 
